sample_id,benchmark,topology,task_id,run,auto_source,manual_source,agreement,manual_note,eval_path,evidence_excerpt
11,finance_agent,orchestrator_with_discussion,21,run_2,financial_support_gap,financial_support_gap,1,financial claim is unverified or support/period alignment is incomplete,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/finance_agent/orchestrator_with_discussion/21/run_2.eval.json,FY 2022: $239.33 (unverified due to inaccessible 2022 report) FY 2023: $81.43 (calculated from $73B GBV ÷ 897M RNs) FY 2024: $98.08 (preliminary based on estimated $87B GBV ÷ 888M RNs)
12,finance_agent,orchestrator_with_discussion,21,run_0,financial_support_gap,financial_support_gap,1,financial claim is unverified or support/period alignment is incomplete,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/finance_agent/orchestrator_with_discussion/21/run_0.eval.json,FY 2022: $35.00 FY 2023: $38.50 FY 2024: $41.90
13,plancraft,orchestrator_with_discussion,VAL0239,run_0,invalid_or_wrong_action,invalid_or_wrong_action,1,terminal action is not the required benchmark action,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/plancraft/orchestrator_with_discussion/VAL0239/run_0.eval.json,move: from [0] to [I1] with quantity 1
14,plancraft,sas,VAL0132,run_2,premature_impossibility,premature_impossibility,1,final answer emits impossible before frontier exhaustion,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/plancraft/sas/VAL0132/run_2.eval.json,"impossible: pink_dye requires red_dye and white_dye in crafting grid, but [A2] contains poppy (which must be smelted to red_dye) instead of red_dye"
15,plancraft,group_chat_debate,VAL0338,run_1,premature_impossibility,premature_impossibility,1,final answer emits impossible before frontier exhaustion,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/plancraft/group_chat_debate/VAL0338/run_1.eval.json,impossible: Missing bone_meal/white_dye and raw wool for white_wool production
16,plancraft,sas,VAL0346,run_1,premature_impossibility,premature_impossibility,1,final answer emits impossible before frontier exhaustion,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/plancraft/sas/VAL0346/run_1.eval.json,"impossible: Only 1 mossy_cobblestone available (requires 3), and no way to craft additional mossy_cobblestone from inventory items. The wall recipe requires 3 mossy_cobblestone in a single row of the crafting grid."
17,plancraft,only_voting,VAL0239,run_1,premature_impossibility,premature_impossibility,1,final answer emits impossible before frontier exhaustion,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/plancraft/only_voting/VAL0239/run_1.eval.json,impossible: Insufficient red_sand in inventory to craft or smelt red_sandstone
18,plancraft,only_voting,VAL0485,run_0,premature_impossibility,premature_impossibility,1,final answer emits impossible before frontier exhaustion,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/plancraft/only_voting/VAL0485/run_0.eval.json,impossible: Lack of necessary fuel and a furnace to smelt the cod
19,stabletoolbench,fully_linked_debate,26892,run_1,evidence_gap,evidence_gap,1,missing metadata or unresolved subquery blocks task completion,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/stabletoolbench/fully_linked_debate/26892/run_1.eval.json,Blocked on missing children's suitability metadata for Roald Dahl books and author/description details for 'adventure' title results. Only counts were provided without actionable information. The answer does not provide any book recommendations or details as requested and only st
20,stabletoolbench,orchestrator_tree_structure,5116,run_2,tool_interface,tool_interface,1,trace contains cache miss/error/invalid interface output,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/stabletoolbench/orchestrator_tree_structure/5116/run_2.eval.json,"The 'Sources by Region' API for Europe remains unavailable due to another cache miss. The 'list of sources' will now be retrieved to enable manual filtering. The answer does not provide any suggested news sources or access to articles, only mentions an API issue without addressin"
21,stabletoolbench,orchestrator_no_discussion,26063,run_1,unsupported_synthesis,unsupported_synthesis,1,available evidence is summarized but final response does not satisfy request,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/stabletoolbench/orchestrator_no_discussion/26063/run_1.eval.json,"Retrieved job titles for 'human resources', validated Chicago location formats, and obtained manufacturing company list The answer is vague and does not explicitly provide the requested lists of job titles, locations, or companies, thus not fully addressing the query. The answer "
22,stabletoolbench,group_chat_debate,32807,run_0,tool_interface,tool_interface,1,trace contains cache miss/error/invalid interface output,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/stabletoolbench/group_chat_debate/32807/run_0.eval.json,blocked The answer is a refusal/non-engagement and does not address the query. The answer is a refusal/non-engagement and does not address the query.
23,stabletoolbench,only_voting,23248,run_0,evidence_gap,evidence_gap,1,missing metadata or unresolved subquery blocks task completion,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/stabletoolbench/only_voting/23248/run_0.eval.json,"The hashtag 'food' challenge data was fetched successfully, but music data could not be retrieved due to lack of a specified music ID. The answer does not address the music data part fully since the music ID was not provided, leaving part of the multi-part query unaddressed. The "
24,stabletoolbench,only_voting,1572,run_0,tool_interface,tool_interface,1,trace contains cache miss/error/invalid interface output,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/stabletoolbench/only_voting/1572/run_0.eval.json,I was unable to retrieve the requested data due to a StableToolBench cache miss when attempting to access the 'Top 50 startups news from the last month' API. The 'Media sources statistics' API also resulted in a cache miss with a similar error pattern. These suggest potential API
25,workbench,group_chat_debate,multi_domain_18,run_1,entity_grounding,entity_grounding,1,directory/person/email binding is missing or sparse in trace,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/workbench/group_chat_debate/multi_domain_18/run_1.eval.json,Cannot assign Jamie Davis due to missing email address. No overdue CRM tasks to assign to.
26,workbench,orchestrator_tree_structure,multi_domain_9,run_2,workflow_precondition,workflow_precondition,1,workflow action is missing or mis-specified after non-entity precondition handling,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/workbench/orchestrator_tree_structure/multi_domain_9/run_2.eval.json,Update on Jamie Davis
27,workbench,group_chat_debate,multi_domain_13,run_0,entity_grounding,entity_grounding,1,directory/person/email binding is missing or sparse in trace,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/workbench/group_chat_debate/multi_domain_13/run_0.eval.json,Blocked
28,workbench,orchestrator_with_discussion,multi_domain_28,run_0,workflow_precondition,workflow_precondition,1,workflow action is missing or mis-specified after non-entity precondition handling,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/workbench/orchestrator_with_discussion/multi_domain_28/run_0.eval.json,Meeting 'Update on Board of Directors Conclave' scheduled with anaya.patel@atlas.com on 2023-11-30 14:30:00 for 2 hours.
29,workbench,only_voting,multi_domain_6,run_1,entity_grounding,entity_grounding,1,directory/person/email binding is missing or sparse in trace,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/workbench/only_voting/multi_domain_6/run_1.eval.json,Blocked
30,workbench,only_voting,multi_domain_0,run_1,entity_grounding,entity_grounding,1,directory/person/email binding is missing or sparse in trace,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/workbench/only_voting/multi_domain_0/run_1.eval.json,Cameron Anderson's email was not found in the company directory. Searching for events related to 'Cameron Anderson' in the past fortnight to check for prior assignments.
