benchmark,topology,task_id,run,outcome,tool_results,max_adverse_streak,same_tool_repeats
stabletoolbench,only_voting,7497,run_1,fail,3,3,0
stabletoolbench,only_voting,7497,run_2,success,3,3,2
stabletoolbench,only_voting,7658,run_0,fail,7,7,1
stabletoolbench,only_voting,7658,run_1,fail,6,6,1
stabletoolbench,only_voting,7658,run_2,success,6,6,1
stabletoolbench,only_voting,8025,run_0,fail,0,0,0
stabletoolbench,only_voting,8025,run_1,fail,0,0,0
stabletoolbench,only_voting,8025,run_2,fail,1,1,0
stabletoolbench,only_voting,9984,run_0,success,4,4,3
stabletoolbench,only_voting,9984,run_1,success,4,4,3
stabletoolbench,only_voting,9984,run_2,success,5,2,2
stabletoolbench,orchestrator_no_discussion,1073,run_0,success,8,0,1
stabletoolbench,orchestrator_no_discussion,1073,run_1,success,4,0,0
stabletoolbench,orchestrator_no_discussion,1073,run_2,success,6,0,0
stabletoolbench,orchestrator_no_discussion,12204,run_0,success,8,2,1
stabletoolbench,orchestrator_no_discussion,12204,run_1,fail,12,3,3
stabletoolbench,orchestrator_no_discussion,12204,run_2,success,3,1,1
stabletoolbench,orchestrator_no_discussion,13095,run_0,success,3,0,2
stabletoolbench,orchestrator_no_discussion,13095,run_1,success,5,0,2
stabletoolbench,orchestrator_no_discussion,13095,run_2,success,2,0,1
stabletoolbench,orchestrator_no_discussion,15511,run_0,fail,4,0,2
stabletoolbench,orchestrator_no_discussion,15511,run_1,success,9,2,1
stabletoolbench,orchestrator_no_discussion,15511,run_2,fail,7,1,2
stabletoolbench,orchestrator_no_discussion,1572,run_0,fail,5,5,3
stabletoolbench,orchestrator_no_discussion,1572,run_1,fail,5,5,1
stabletoolbench,orchestrator_no_discussion,1572,run_2,fail,2,2,0
stabletoolbench,orchestrator_no_discussion,16196,run_0,success,3,0,2
stabletoolbench,orchestrator_no_discussion,16196,run_1,success,3,0,2
stabletoolbench,orchestrator_no_discussion,16196,run_2,success,3,0,2
stabletoolbench,orchestrator_no_discussion,17223,run_0,success,9,1,5
stabletoolbench,orchestrator_no_discussion,17223,run_1,fail,9,3,6
stabletoolbench,orchestrator_no_discussion,17223,run_2,success,10,1,5
stabletoolbench,orchestrator_no_discussion,20704,run_0,success,8,1,1
stabletoolbench,orchestrator_no_discussion,20704,run_1,success,11,1,3
stabletoolbench,orchestrator_no_discussion,20704,run_2,success,14,2,1
stabletoolbench,orchestrator_no_discussion,21596,run_0,fail,5,1,2
stabletoolbench,orchestrator_no_discussion,21596,run_1,success,3,1,0
stabletoolbench,orchestrator_no_discussion,21596,run_2,success,5,1,0
stabletoolbench,orchestrator_no_discussion,22781,run_0,fail,14,14,8
stabletoolbench,orchestrator_no_discussion,22781,run_1,success,9,9,8
stabletoolbench,orchestrator_no_discussion,22781,run_2,fail,21,21,10
stabletoolbench,orchestrator_no_discussion,23163,run_0,fail,3,1,1
stabletoolbench,orchestrator_no_discussion,23163,run_1,fail,0,0,0
stabletoolbench,orchestrator_no_discussion,23163,run_2,fail,6,4,2
stabletoolbench,orchestrator_no_discussion,23248,run_0,success,2,0,1
stabletoolbench,orchestrator_no_discussion,23248,run_1,fail,1,0,0
stabletoolbench,orchestrator_no_discussion,23248,run_2,fail,0,0,0
stabletoolbench,orchestrator_no_discussion,24810,run_0,fail,11,3,3
stabletoolbench,orchestrator_no_discussion,24810,run_1,fail,18,5,6
stabletoolbench,orchestrator_no_discussion,24810,run_2,fail,18,2,6
stabletoolbench,orchestrator_no_discussion,25052,run_0,fail,9,5,6
stabletoolbench,orchestrator_no_discussion,25052,run_1,fail,4,1,3
stabletoolbench,orchestrator_no_discussion,25052,run_2,fail,5,1,4
stabletoolbench,orchestrator_no_discussion,26063,run_0,success,6,0,2
stabletoolbench,orchestrator_no_discussion,26063,run_1,fail,9,0,2
stabletoolbench,orchestrator_no_discussion,26063,run_2,fail,12,0,1
stabletoolbench,orchestrator_no_discussion,26752,run_0,fail,7,0,3
stabletoolbench,orchestrator_no_discussion,26752,run_1,success,3,0,2
stabletoolbench,orchestrator_no_discussion,26752,run_2,success,4,0,0
stabletoolbench,orchestrator_no_discussion,26892,run_0,success,5,0,1
stabletoolbench,orchestrator_no_discussion,26892,run_1,fail,4,0,2
stabletoolbench,orchestrator_no_discussion,26892,run_2,fail,3,0,1
stabletoolbench,orchestrator_no_discussion,31117,run_0,fail,12,12,11
stabletoolbench,orchestrator_no_discussion,31117,run_1,success,10,10,7
stabletoolbench,orchestrator_no_discussion,31117,run_2,fail,7,7,6
stabletoolbench,orchestrator_no_discussion,31402,run_0,success,6,6,1
stabletoolbench,orchestrator_no_discussion,31402,run_1,success,7,7,3
stabletoolbench,orchestrator_no_discussion,31402,run_2,success,8,3,0
stabletoolbench,orchestrator_no_discussion,32617,run_0,success,3,0,2
stabletoolbench,orchestrator_no_discussion,32617,run_1,success,4,1,3
stabletoolbench,orchestrator_no_discussion,32617,run_2,success,4,0,3
stabletoolbench,orchestrator_no_discussion,32807,run_0,fail,4,4,2
stabletoolbench,orchestrator_no_discussion,32807,run_1,fail,2,2,1
stabletoolbench,orchestrator_no_discussion,32807,run_2,fail,3,3,2
stabletoolbench,orchestrator_no_discussion,3308,run_0,success,5,0,3
stabletoolbench,orchestrator_no_discussion,3308,run_1,fail,3,0,2
stabletoolbench,orchestrator_no_discussion,3308,run_2,fail,2,0,1
stabletoolbench,orchestrator_no_discussion,33112,run_0,success,6,0,2
stabletoolbench,orchestrator_no_discussion,33112,run_1,fail,0,0,0
stabletoolbench,orchestrator_no_discussion,33112,run_2,success,4,0,1
stabletoolbench,orchestrator_no_discussion,3510,run_0,fail,14,1,3
stabletoolbench,orchestrator_no_discussion,3510,run_1,fail,9,1,1
stabletoolbench,orchestrator_no_discussion,3510,run_2,fail,7,0,2
stabletoolbench,orchestrator_no_discussion,4505,run_0,fail,3,0,2
stabletoolbench,orchestrator_no_discussion,4505,run_1,fail,5,0,3
stabletoolbench,orchestrator_no_discussion,4505,run_2,fail,5,0,2
stabletoolbench,orchestrator_no_discussion,5116,run_0,success,12,2,3
stabletoolbench,orchestrator_no_discussion,5116,run_1,fail,14,1,2
stabletoolbench,orchestrator_no_discussion,5116,run_2,success,12,2,2
stabletoolbench,orchestrator_no_discussion,7497,run_0,fail,3,3,0
stabletoolbench,orchestrator_no_discussion,7497,run_1,success,11,11,3
stabletoolbench,orchestrator_no_discussion,7497,run_2,success,6,6,3
stabletoolbench,orchestrator_no_discussion,7658,run_0,fail,5,5,2
stabletoolbench,orchestrator_no_discussion,7658,run_1,fail,5,5,4
stabletoolbench,orchestrator_no_discussion,7658,run_2,fail,3,3,0
stabletoolbench,orchestrator_no_discussion,8025,run_0,fail,0,0,0
stabletoolbench,orchestrator_no_discussion,8025,run_1,fail,0,0,0
stabletoolbench,orchestrator_no_discussion,8025,run_2,fail,0,0,0
stabletoolbench,orchestrator_no_discussion,9984,run_0,success,3,3,2
stabletoolbench,orchestrator_no_discussion,9984,run_1,success,6,4,3
stabletoolbench,orchestrator_no_discussion,9984,run_2,success,4,4,3
stabletoolbench,orchestrator_tree_structure,1073,run_0,success,6,0,2
stabletoolbench,orchestrator_tree_structure,1073,run_1,fail,6,0,3
stabletoolbench,orchestrator_tree_structure,1073,run_2,fail,4,0,0
stabletoolbench,orchestrator_tree_structure,12204,run_0,fail,9,3,5
stabletoolbench,orchestrator_tree_structure,12204,run_1,success,11,3,5
stabletoolbench,orchestrator_tree_structure,12204,run_2,fail,7,2,2
stabletoolbench,orchestrator_tree_structure,13095,run_0,fail,5,0,2
stabletoolbench,orchestrator_tree_structure,13095,run_1,success,9,1,2
stabletoolbench,orchestrator_tree_structure,13095,run_2,success,3,0,0
stabletoolbench,orchestrator_tree_structure,15511,run_0,fail,12,3,3
stabletoolbench,orchestrator_tree_structure,15511,run_1,fail,5,1,2
stabletoolbench,orchestrator_tree_structure,15511,run_2,success,3,1,0
stabletoolbench,orchestrator_tree_structure,1572,run_0,fail,7,7,3
stabletoolbench,orchestrator_tree_structure,1572,run_1,fail,4,4,1
stabletoolbench,orchestrator_tree_structure,1572,run_2,fail,2,2,1
stabletoolbench,orchestrator_tree_structure,16196,run_0,success,5,3,3
stabletoolbench,orchestrator_tree_structure,16196,run_1,success,4,1,1
stabletoolbench,orchestrator_tree_structure,16196,run_2,success,3,0,1
stabletoolbench,orchestrator_tree_structure,17223,run_0,success,6,0,1
stabletoolbench,orchestrator_tree_structure,17223,run_1,success,11,1,10
stabletoolbench,orchestrator_tree_structure,17223,run_2,fail,9,2,6
stabletoolbench,orchestrator_tree_structure,20704,run_0,success,18,2,5
stabletoolbench,orchestrator_tree_structure,20704,run_1,fail,12,0,5
stabletoolbench,orchestrator_tree_structure,20704,run_2,success,2,0,1
stabletoolbench,orchestrator_tree_structure,21596,run_0,success,6,2,1
stabletoolbench,orchestrator_tree_structure,21596,run_1,fail,8,1,1
stabletoolbench,orchestrator_tree_structure,21596,run_2,success,4,1,1
stabletoolbench,orchestrator_tree_structure,22781,run_0,success,22,22,14
stabletoolbench,orchestrator_tree_structure,22781,run_1,fail,13,13,8
stabletoolbench,orchestrator_tree_structure,22781,run_2,success,14,14,9
stabletoolbench,orchestrator_tree_structure,23163,run_0,fail,1,1,0
stabletoolbench,orchestrator_tree_structure,23163,run_1,fail,2,2,1
stabletoolbench,orchestrator_tree_structure,23163,run_2,fail,8,3,0
stabletoolbench,orchestrator_tree_structure,23248,run_0,fail,2,0,1
stabletoolbench,orchestrator_tree_structure,23248,run_1,fail,2,0,1
stabletoolbench,orchestrator_tree_structure,23248,run_2,fail,2,0,1
stabletoolbench,orchestrator_tree_structure,24810,run_0,fail,14,6,10
stabletoolbench,orchestrator_tree_structure,24810,run_1,fail,16,4,7
stabletoolbench,orchestrator_tree_structure,24810,run_2,fail,19,6,6
stabletoolbench,orchestrator_tree_structure,25052,run_0,fail,5,2,4
stabletoolbench,orchestrator_tree_structure,25052,run_1,fail,11,7,10
stabletoolbench,orchestrator_tree_structure,25052,run_2,fail,8,3,7
stabletoolbench,orchestrator_tree_structure,26063,run_0,fail,7,0,2
stabletoolbench,orchestrator_tree_structure,26063,run_1,success,7,0,2
stabletoolbench,orchestrator_tree_structure,26063,run_2,fail,4,0,1
stabletoolbench,orchestrator_tree_structure,26752,run_0,fail,5,0,1
stabletoolbench,orchestrator_tree_structure,26752,run_1,success,3,0,1
stabletoolbench,orchestrator_tree_structure,26752,run_2,success,7,0,4
stabletoolbench,orchestrator_tree_structure,26892,run_0,fail,7,0,3
stabletoolbench,orchestrator_tree_structure,26892,run_1,fail,2,0,0
stabletoolbench,orchestrator_tree_structure,26892,run_2,success,3,0,0
stabletoolbench,orchestrator_tree_structure,31117,run_0,fail,10,10,9
stabletoolbench,orchestrator_tree_structure,31117,run_1,fail,10,10,9
stabletoolbench,orchestrator_tree_structure,31117,run_2,fail,12,12,9
stabletoolbench,orchestrator_tree_structure,31402,run_0,fail,7,2,1
stabletoolbench,orchestrator_tree_structure,31402,run_1,success,6,2,0
stabletoolbench,orchestrator_tree_structure,31402,run_2,success,9,4,2
stabletoolbench,orchestrator_tree_structure,32617,run_0,success,7,2,3
stabletoolbench,orchestrator_tree_structure,32617,run_1,success,3,0,2
stabletoolbench,orchestrator_tree_structure,32617,run_2,success,10,1,3
stabletoolbench,orchestrator_tree_structure,32807,run_0,fail,6,6,5
stabletoolbench,orchestrator_tree_structure,32807,run_1,fail,2,2,1
stabletoolbench,orchestrator_tree_structure,32807,run_2,fail,2,2,1
stabletoolbench,orchestrator_tree_structure,3308,run_0,success,2,0,1
stabletoolbench,orchestrator_tree_structure,3308,run_1,success,3,1,2
stabletoolbench,orchestrator_tree_structure,3308,run_2,success,6,0,2
